기간,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시,24시,최대,최소,가중평균
2020/01/11,83.76,82.63,82.58,81.22,81.22,82.93,84.36,84.55,84.54,84.54,84.54,84.08,79.37,81.18,81.18,83.33,83.99,84.34,84.35,84.35,85.01,83.54,83.59,85.15,85.15,79.37,83.39
2020/01/10,83.28,82.6,81.25,81.23,82.97,82.97,82.97,84.41,88.3,88.36,88.3,88.19,87.11,88.08,88.08,88.05,88.08,87.29,86.7,86.7,84.36,84.12,84,84.2,88.36,81.23,85.72
2020/01/09,83.25,87.18,87.18,81.24,81.92,81.92,83.24,84.09,88.66,88.66,88.52,88.3,86.68,88.22,89.47,89.22,89.47,87.51,86.49,85.56,84.08,83.67,82.91,83.75,89.47,81.24,86.1
2020/01/08,83.41,82.6,82.55,81.5,82.09,82.6,87.75,89.87,89.95,90.57,88.66,88.78,85.02,86.71,87.58,87.58,90.5,87.58,86.83,85.97,84.22,84.11,84.07,84.12,90.57,81.5,86.24
2020/01/07,83.4,82.6,82.6,82.09,82.6,82.31,84.57,88.55,88.94,88.94,88.23,88.23,84.99,86.72,86.76,87.52,87.7,87.7,87.7,87.44,84.63,84.18,84,84.45,88.94,82.09,85.88
2020/01/06,82.3,80.31,78.87,77.92,79,82.1,81.22,87.88,89.7,89.7,88.16,87.93,86.8,87.5,87.5,87.5,87.5,87.5,86.58,84.95,84.26,83.74,83.02,83.74,89.7,77.92,85.24
2020/01/05,87.41,87.3,81.7,78.87,78.92,80.76,80.67,80.62,81.9,81.9,81.9,81.61,78.55,80.17,82.54,80.19,80.95,82.89,83.13,83.37,83.37,82.2,82.2,82.31,87.41,78.55,81.95
2020/01/04,83.69,81.58,82.58,81.17,81.17,82.95,83.72,84.6,84.59,84.58,84.55,84.07,79.39,81.09,81.47,83.71,84.02,84.53,84.59,84.02,83.93,83.39,83.84,83.99,84.6,79.39,83.26
2020/01/03,83,81.71,82.6,81.26,81.31,82.6,88.46,88.75,89.04,89.84,87.52,87.47,84.9,85.06,85.35,86.72,87.68,87.76,87.84,87.84,84.22,83.38,82.49,84.07,89.84,81.26,85.63
2020/01/02,80.67,82.6,79.44,79.04,82.6,80.15,82.6,86.65,89.32,89.68,87.93,87.66,86.78,87.44,87.44,87.44,87.48,87.48,87.49,87.49,84.63,84.1,84.1,84.1,89.68,79.04,85.51
2020/01/01,86.2,84.03,82.76,82.52,80.74,81.9,80.95,80.51,82.49,78.4,80.95,78.51,78.53,77.83,78.52,80.95,80.39,81.95,81.95,82.54,82.07,82.13,82.13,83.95,86.2,77.83,81.46
